rank,id,id_album,title,length,publicationDate,language,language_detect,genre,recordLabel,recorded,runtime,award,Album_Name,Artist_name,rankHere,year_publication,Album_Name2
307770,5714dec825ac0d8aee3c364f,5714debb25ac0d8aee354419,"Snoop Dogg & Wiz Khalifa:Young, Wild & Free",208,2015-02-19,unknown,english,"list(""Alternative hip hop"", ""Pop-rap"")","list(""Atlantic Records"")","list(""2011"")","list(""207.0"")","list(""Gold"", ""Platinum"")",Songs Featuring Bruno Mars,Bruno Mars,197,2015,unknown
307976,5714deca25ac0d8aee3d35af,5714debb25ac0d8aee355d2c,Superstar,200,2011-04-13,unknown,english,"list(""Noise rock"", ""Soul music"", ""Alternative rock"", ""Contemporary R&B"", ""Pop music"")","list(""A&M Records"", ""Epic Records"")","list(""1994"", ""Early 1971"")","list(""226.0"", ""332.0"", ""246.0"")",list(),3614 Jackson Highway,Cher,198,2011,unknown
308016,5714decf25ac0d8aee419d5e,5714debb25ac0d8aee35ce06,Gangsta's Paradise,234,2014-04-01,eng,english,"list(""Gangsta rap"", ""G-funk"", ""West Coast hip hop"", ""Horrorcore"")","list(""Tommy Boy Records"")","list(""1994"")","list(""240.0"")","list(""Platinum"", ""Gold"")",Songs On Compilations And Soundtracks,Falling In Reverse,199,2014,unknown
308135,5714dec725ac0d8aee3b0bff,5714debb25ac0d8aee3526ad,I Believe I Can Fly,279,2006-11-14,unknown,english,"list(""Gospel music"", ""Soul music"", ""Contemporary R&B"")","list(""Atlantic Records"", ""Jive Records"")","list(""August 1996"")","list(""282.0"", ""322.0"")","list(""Platinum"", ""Gold"")",Bianca Ryan,Bianca Ryan,200,2006,unknown
308227,5714dec425ac0d8aee38d893,5714debb25ac0d8aee34ec27,Bad Boys,364,2011-07-25,unknown,english,"list(""Contemporary R&B"", ""Dance-pop"")","list(""Syco Music"")","list(""2009"")","list(""190.0"", ""206.0"")",list(),Overcome,Alexandra Burke,201,2011,unknown
308362,5714decb25ac0d8aee3e5c44,5714debb25ac0d8aee357b06,The Phuncky Feel One,208,2000-10-30,unknown,english,"list(""West Coast hip hop"", ""Latin hip hop"")","list(""Ruffhouse Records"")","list(""1991"")","list(""208.0"")",list(),Cypress Hill,Cypress Hill,202,2000,Cypress Hill
308377,5714dec325ac0d8aee3846ec,5714debb25ac0d8aee34dd0c,Ride,235,2008-11-18,unknown,english,"list(""Hip hop music"", ""Contemporary R&B"")","list(""We the Best Music Group"", ""Def Jam Recordings"")","list(""2008"")","list(""265.0"")",list(),Gutta,Ace Hood,203,2008,unknown
308444,5714deca25ac0d8aee3d366c,5714debb25ac0d8aee355d3f,Paradise Is Here,303,1995-11-06,eng,english,"list(""Pop music"", ""Soft rock"", ""Contemporary R&B"", ""Pop rock"")","list(""Capitol Records"", ""Reprise Records"")","list(""1995"", ""1986"")","list(""303.0"", ""280.0"", ""335.0"")",list(),It's A Man's World,Cher,204,1995,unknown
308540,5714decc25ac0d8aee3f4f14,5714debb25ac0d8aee35938c,Silly,275,2016-04-01,unknown,english,"list(""Soul music"", ""Contemporary R&B"")","list(""American Record Company"", ""Columbia Records"")","list(""1981"")","list(""357.0"")",list(),My Melody,Deniece Williams,205,2016,My Melody
308649,5714dec625ac0d8aee3a770d,5714debb25ac0d8aee3517bf,Best Years Of Our Lives,178,2001-05-14,eng,english,"list(""Reggae"", ""Salsa music"", ""Pop music"", ""Pop-rap"", ""Dance-pop"", ""New wave music"")","list(""Warner Music Group"", ""S-Curve Records"")",list(),"list(""178.0"", ""155.0"")",list(),Move It Like This,Baha Men,206,2001,unknown
308670,5714dec525ac0d8aee39da0c,5714debb25ac0d8aee350790,A Rose Is Still A Rose,236,2008-02-25,unknown,english,"list(""Neo soul"", ""Hip hop soul"", ""Contemporary R&B"")","list(""Arista Records"")","list(""1997"")","list(""267.0"")","list(""Gold"")",A Rose Is Still A Rose,Aretha Franklin,207,2008,A Rose Is Still A Rose
308999,5714decd25ac0d8aee402b93,5714debb25ac0d8aee35a9a1,Headlines,236,2011-08-05,unknown,english,"list(""Contemporary R&B"", ""Hip hop music"")","list(""Aspire Music Group"", ""Young Money Entertainment"", ""Universal Republic Records"", ""Cash Money Records"")",list(),"list(""207.0"", ""236.0"")","list(""Platinum"")",Take Care,Drake,208,2011,Take Care
309302,5714dec925ac0d8aee3d11bb,5714debb25ac0d8aee3559ba,Chanté's Got A Man,264,2009-07-14,unknown,english,"list(""Contemporary R&B"")","list(""MCA Records"")","list(""1998"")","list(""262.0"")","list(""Gold"")",This Moment Is Mine,Chanté Moore,209,2009,This Moment Is Mine
309411,5714dec825ac0d8aee3bf0da,5714debb25ac0d8aee353d06,I Will Get There,262,1998-02-11,unknown,english,"list(""Gospel music"", ""Contemporary R&B"")","list(""DreamWorks Records"", ""Motown"")","list(""1998"")","list(""263.0"")",list(),The Ballad Collection,Boyz II Men,211,1998,The Ballad Collection
309631,5714dec625ac0d8aee3abdaf,5714debb25ac0d8aee351eb9,Cooky Puss,199,1994-02-12,eng,english,"list(""Rap rock"", ""Old-school hip hop"", ""Reggae"", ""Hip hop music"")","list(""Rat Cage Records"")","list(""March 1983 at Celebration Recording, New York City"")","list(""819.0"")",list(),Some Old Bullshit,Beastie Boys,212,1994,unknown
309938,5714dec625ac0d8aee3ac739,5714debb25ac0d8aee351f9d,Cher Lloyd:Oath,217,2015-02-20,unknown,english,"list(""Bubblegum pop"", ""Pop-rap"")","list(""Syco Music"", ""Epic Records"")","list(""2012"")","list(""218.0"")","list(""Gold"")",Songs featuring Becky G,Becky G,215,2015,unknown
310000,5714dec325ac0d8aee381d58,5714debb25ac0d8aee34d895,The One I Gave My Heart To,270,2007-01-01,eng,english,"list(""Pop music"", ""Contemporary R&B"")","list(""Atlantic Records"", ""Blackground Records"")","list(""1997"", ""Summer 1996"")","list(""233.0"", ""270.0"")","list(""Gold"")",One In A Million,Aaliyah,216,2007,One In A Million
310052,5714dec625ac0d8aee3a3cea,5714debb25ac0d8aee351212,Obsesión,239,2015-01-20,unknown,spanish,"list(""Contemporary R&B"", ""Latin pop"", ""Hip hop music"", ""Bachata (music)"")","list(""Sony Music Entertainment"", ""Columbia Records"")","list(""2002"", ""2005"", ""2013"")","list(""252.0"")",list(),K.O.B. Live,Aventura,217,2015,unknown
310196,5714dec425ac0d8aee38e747,5714debb25ac0d8aee34edbe,If I Ain't Got You,247,2007-10-04,eng,english,"list(""Soul music"", ""Contemporary R&B"", ""Jazz"")","list(""J Records"")","list(""Kampo Studios"")","list(""228.0"")","list(""Gold"")",The Element Of Freedom,Alicia Keys,218,2007,unknown
310238,5714deca25ac0d8aee3d7042,5714debb25ac0d8aee356312,Dirrty,285,2008-11-07,eng,english,"list(""Contemporary R&B"", ""Hip hop music"")","list(""RCA Records"")","list(""*"", ""Conway Recording Studios"", ""*2002; *"", ""The Enterprise Studios"")","list(""298.0"")","list(""Gold"", ""Platinum"", ""Silver"")",Keeps Gettin' Better: A Decade Of Hits,Christina Aguilera,219,2008,unknown
310317,5714dec925ac0d8aee3ce986,5714debb25ac0d8aee3555af,Touch Me (All Night Long),247,2010-04-23,unknown,english,"list(""Boogie (genre)"", ""Freestyle music"", ""Contemporary R&B"", ""House music"", ""Dance-pop"")","list(""Polydor Records"")",list(),"list(""239.0"")",list(),Move To This,Cathy Dennis,220,2010,unknown
310521,5714dec725ac0d8aee3b08a5,5714debb25ac0d8aee35265e,Upgrade U,272,2007-04-03,unknown,english,"list(""Contemporary R&B"", ""Hip hop music"")","list(""Columbia Records"")","list(""Sony Music Studios"", ""2006"")","list(""272.0"")",list(),B'Day,Beyoncé,221,2007,B'Day
310699,5714dec725ac0d8aee3b08a2,5714debb25ac0d8aee35265e,Déjà Vu,232,2006-10-27,eng,english,"list(""Funk"", ""Hip hop music"", ""Contemporary R&B"")","list(""Columbia Records"")","list(""April 2006; Sony Music Studios"")","list(""239.0"")","list(""Silver"", ""Gold"")",B'Day,Beyoncé,222,2006,B'Day
310750,5714decb25ac0d8aee3e9614,5714debb25ac0d8aee3580bb,James Dean (I Wanna Know),177,2003-03-23,unknown,english,"list(""Dance-pop"", ""Contemporary R&B"", ""Breakbeat"")","list(""Polydor Records"")","list(""2002"")","list(""220.0"")",list(),Gotta Get Thru This,Daniel Bedingfield,223,2003,unknown
311535,5714decb25ac0d8aee3e013b,5714debb25ac0d8aee3571a0,Push It To The Limit,196,2007-04-13,unknown,english,"list(""Pop music"", ""Contemporary R&B"")","list(""Hollywood Records"")","list(""2006"")","list(""194.0"")",list(),Another Side,Corbin Bleu,224,2007,unknown
311716,5714dec825ac0d8aee3bda51,5714debb25ac0d8aee353aa6,Faith No More & Boo-Yaa T.R.I.B.E.:Another Body Murdered,262,1993-09-10,eng,english,"list(""Rap metal"")","list(""Immortal Records"")",list(),"list(""262.0"")",list(),Other Songs,Boo-Yaa T.R.I.B.E.,225,1993,unknown
312074,5714dec725ac0d8aee3b9539,5714debb25ac0d8aee3533fe,One Love,37,2005-05-06,eng,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Innocent Records"", ""Virgin Records"")","list(""2002"")","list(""208.0"")","list(""Silver"")",4EVER Blue,Blue,226,2005,unknown
312457,5714dec825ac0d8aee3c1407,5714debb25ac0d8aee3540a5,Love Is,286,2001-01-18,unknown,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Giant Records (Warner)"")","list(""1992"")","list(""285.0"", ""241.0"")",list(),From There To Here: 1989-2002,Brian McKnight,227,2001,From There To Here: 1989-2002
312874,5714dec625ac0d8aee3a6779,5714debb25ac0d8aee351637,Jay-Z:(Always Be My) Sunshine,283,2000-08-28,unknown,english,"list(""Rhythm and blues"", ""East Coast hip hop"")","list(""Roc-A-Fella Records"", ""Def Jam Recordings"")","list(""1996"")","list(""283.0"")",list(),Songs Featuring Babyface,Babyface,228,2000,unknown
312982,5714dec725ac0d8aee3b08bd,5714debb25ac0d8aee35265f,Naughty Girl,214,2007-11-19,unknown,english,"list(""Funk"", ""Disco"", ""Contemporary R&B"")","list(""Columbia Records"")","list(""2002"")","list(""208.0"")","list(""Gold"", ""Platinum"")",The Beyoncé Experience Live,Beyoncé,229,2007,unknown
313031,5714decf25ac0d8aee41642d,5714debb25ac0d8aee35c80f,If You Want My Lovin',258,2011-12-30,unknown,english,"list(""Contemporary R&B"", ""Boogie (genre)"")","list(""RCA Records"")","list(""1980"")","list(""258.0"")",list(),I'm In Love,"Evelyn ""Champagne"" King",230,2011,unknown
313276,5714decd25ac0d8aee4030cd,5714debb25ac0d8aee35aa1f,Dream:This Is Me,192,2005-04-20,unknown,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Universal Records (defunct record label)"", ""Bad Boy Records"")","list(""June 2000 California, United States"")","list(""192.0"")",list(),It Was All A Dream,Dream (US),232,2005,unknown
313288,5714dec725ac0d8aee3b045b,5714debb25ac0d8aee3525d7,Doin' The Do,220,1999-11-08,eng,english,"list(""Pop-rap"", ""Dance-pop"")","list(""Warner Bros. Records"")",list(),list(),"list(""Gold"")",Other Songs,Betty Boo,233,1999,unknown
313359,5714dec725ac0d8aee3b08a3,5714debb25ac0d8aee35265e,Get Me Bodied,378,2007-04-03,unknown,english,"list(""Dancehall"", ""Contemporary R&B"", ""Bounce music"")","list(""Columbia Records"")","list(""2006"")","list(""378.0"", ""240.0"", ""205.0"")",list(),B'Day,Beyoncé,236,2007,B'Day
313745,5714dec725ac0d8aee3b8bb3,5714debb25ac0d8aee353306,No Exit,259,2000-11-29,eng,english,"list(""Pop rock"", ""Rap rock"")",list(),"list(""1998"")","list(""258.0"")",list(),No Exit,Blondie,237,2000,unknown
313856,5714dec725ac0d8aee3b951d,5714debb25ac0d8aee3533fc,Guilty,226,2003-11-03,unknown,english,"list(""Pop music"", ""Contemporary R&B"")","list(""EMI"")","list(""2003"")","list(""224.0"")",list(),Guilty,Blue,238,2003,unknown
314235,5714dec325ac0d8aee381d4f,5714debb25ac0d8aee34d895,Got To Give It Up,279,2007-01-01,eng,english,"list(""Contemporary R&B"", ""Soul music"", ""Jazz-funk"", ""Disco"", ""Hip hop soul"", ""Funk"")","list(""Blackground Records"", ""Motown"", ""Atlantic Records"")","list(""December 1976"", ""Los Angeles"", ""Marvin's Room (studio)"", ""1996"")","list(""252.0"", ""242.0"", ""712.0"", ""281.0"")",list(),One In A Million,Aaliyah,239,2007,One In A Million
314261,5714dec625ac0d8aee3abd67,5714debb25ac0d8aee351eb6,Looking Down The Barrel Of A Gun,208,1989-07-31,eng,english,"list(""Rapcore"")","list(""Capitol Records"")",list(),"list(""208.0"")",list(),Paul's Boutique,Beastie Boys,240,1989,Paul's Boutique
314271,5714decd25ac0d8aee402202,5714debb25ac0d8aee35a8bf,2Pac:California Love,334,2004-08-16,unknown,english,"list(""Gangsta rap"", ""West Coast hip hop"", ""G-funk"")","list(""Death Row Records"", ""Interscope Records"")","list(""--10-13"")","list(""285.0"", ""385.0"")","list(""Gold"", ""Platinum"")",Songs Featuring Dr. Dre,Dr. Dre,241,2004,unknown
314276,5714dec625ac0d8aee3abd68,5714debb25ac0d8aee351eb6,Car Thief,219,1989-07-31,eng,english,"list(""Gangsta rap"", ""Hip hop music"")","list(""Capitol Records"")",list(),"list(""219.0"")",list(),Paul's Boutique,Beastie Boys,242,1989,Paul's Boutique
314677,5714dec625ac0d8aee3ac671,5714debb25ac0d8aee351f90,Cellphone's Dead,285,2006-10-06,unknown,english,"list(""Alternative hip hop"", ""Trip hop"")","list(""Interscope Records"")","list(""Winter 2003 – Spring 2006"")","list(""286.0"")",list(),The Information,Beck,244,2006,unknown
314881,5714dec825ac0d8aee3c13f9,5714debb25ac0d8aee3540a4,Love Of My Life,285,2007-09-26,unknown,english,"list(""Contemporary R&B"", ""Soul music"")","list(""Motown"")",list(),"list(""281.0"")",list(),Superhero,Brian McKnight,245,2007,Superhero
314882,5714dec325ac0d8aee381d4a,5714debb25ac0d8aee34d895,Hot Like Fire,262,2007-01-01,eng,english,"list(""Hip hop soul"", ""Contemporary R&B"")","list(""Blackground Records"", ""Atlantic Records"")","list(""at Pyramid Studios"", ""1996"")","list(""264.0"")",list(),One In A Million,Aaliyah,246,2007,One In A Million
314944,5714dec625ac0d8aee3a56e3,5714debb25ac0d8aee3514c4,No Mercy,214,0000-00-00,unknown,english,"list(""K-pop"", ""Hip hop music"", ""Contemporary R&B"", ""Pop rock"", ""Dance music"")","list(""TS Entertainment"")","list(""2012"")","list(""1109.0"")",list(),No Mercy,B.A.P,247,0000,unknown
315028,5714decd25ac0d8aee3fb01a,5714debb25ac0d8aee359d07,Heartbreaker,258,2007-12-10,eng,english,"list(""Pop music"", ""Contemporary R&B"", ""Adult contemporary music"", ""Disco"", ""Soul music"")","list(""Arista Records"")","list(""1982"", ""February 1982 at"", ""Middle Ear, Miami Beach, Florida"", ""1994"", ""Miami Beach, Florida"")","list(""256.0"")",list(),Heartbreaker,Dionne Warwick,248,2007,unknown
315240,5714dec525ac0d8aee39eb5e,5714debb25ac0d8aee35094d,People Everyday,244,2006-09-25,unknown,english,"list(""Alternative hip hop"")",list(),"list(""1991"")","list(""206.0"")",list(),Unplugged,Arrested Development,249,2006,unknown
315283,5714decd25ac0d8aee3fd9f3,5714debb25ac0d8aee35a1aa,Stop Being Greedy,216,2007-10-23,unknown,english,"list(""Horrorcore"", ""Hardcore hip hop"")","list(""Def Jam Recordings"", ""Ruff Ryders Entertainment"")","list(""1997"")","list(""217.0"")",list(),It's Dark And Hell Is Hot,DMX,250,2007,It's Dark And Hell Is Hot
315418,5714decf25ac0d8aee4116c2,5714debb25ac0d8aee35c04c,Just The Two Of Us,214,2005-02-14,unknown,english,"list(""Smooth jazz"", ""Soul music"", ""Jazz"", ""Reggae"", ""Contemporary R&B"", ""Rhythm and blues"")","list(""Elektra Records"", ""Sony Music Entertainment Japan"")","list(""1980"", ""1991"", ""1995"")","list(""7.0"", ""443.0"", ""213.0"", ""268.0"")",list(),Let There Be Love,Engelbert Humperdinck,251,2005,unknown
315449,5714decc25ac0d8aee3ed703,5714debb25ac0d8aee358783,Get Like Me,224,2008-07-15,unknown,english,"list(""Hip hop music"", ""Southern hip hop"")","list(""Universal Records (defunct record label)"")","list(""2007"")","list(""225.0"")",list(),The Greatest Story Ever Told,David Banner,252,2008,The Greatest Story Ever Told
315478,5714deca25ac0d8aee3dc31f,5714debb25ac0d8aee356b3d,Middle Finger,212,2011-08-30,unknown,english,"list(""Electropop"", ""Contemporary R&B"", ""Alternative hip hop"", ""Alternative rock"")","list(""DCD2 Records"", ""Fueled by Ramen"", ""Warner Bros. Records"")","list(""2011"")","list(""213.0"")",list(),Night Shades,Cobra Starship,253,2011,unknown
315479,5714deca25ac0d8aee3d3669,5714debb25ac0d8aee355d3f,One By One,302,1995-11-06,unknown,english,"list(""Contemporary R&B"", ""Pop music"", ""Pop rock"")","list(""Reprise Records"", ""Warner Music Group"")","list(""1995"")","list(""246.0"", ""306.0"")",list(),It's A Man's World,Cher,254,1995,unknown
315574,5714dec725ac0d8aee3b0752,5714debb25ac0d8aee352636,Keep This Fire Burning,235,2004-06-28,unknown,english,"list(""Contemporary R&B"", ""Pop music"", ""Soul music"")","list(""RCA"", ""Bertelsmann Music Group"", ""Parlophone"")","list(""2002"", ""2004"")","list(""236.0"", ""235.0"")",list(),Affirmation,Beverley Knight,255,2004,Affirmation
315671,5714decc25ac0d8aee3f62fd,5714debb25ac0d8aee3595a9,Lose My Breath,240,2005-09-26,unknown,english,"list(""Contemporary R&B"", ""Dance-pop"")","list(""Columbia Records"")","list(""2002"")","list(""241.0"", ""213.0"")","list(""Silver"", ""Platinum"", ""Gold"")",Destiny Fulfilled,Destiny's Child,257,2005,Destiny Fulfilled
315676,5714dec925ac0d8aee3ca092,5714debb25ac0d8aee354e57,Knockin' Boots,233,2010-03-01,unknown,english,"list(""Hip hop music"", ""Contemporary R&B"")","list(""Epic Records"")","list(""1989"")","list(""233.0"")",list(),Ain't No Shame In My Game,Candyman,258,2010,Ain't No Shame In My Game
315686,5714dec725ac0d8aee3b08a9,5714debb25ac0d8aee35265e,Green Light,209,2007-04-03,unknown,english,"list(""Funk"", ""Contemporary R&B"")","list(""Columbia Records"")","list(""2006"")","list(""209.0"")",list(),B'Day,Beyoncé,259,2007,B'Day
315783,5714deca25ac0d8aee3d4646,5714debb25ac0d8aee355ec6,Ray Charles,223,2011-11-01,unknown,english,"list(""Contemporary R&B"", ""Alternative hip hop"", ""Soul music"")","list(""I.R.S. Records"", ""Virgin Records"")",list(),"list(""223.0"")",list(),Breakfast,Chiddy Bang,260,2011,Breakfast
315813,5714decd25ac0d8aee3fd07a,5714debb25ac0d8aee35a069,Parents Just Don't Understand,311,2006-01-31,eng,english,"list(""Pop-rap"", ""Comedy hip hop"")","list(""Jive Records"")","list(""November 1987-January 1988"")","list(""253.0"", ""335.0"")",list(),"He's The DJ, I'm The Rapper",DJ Jazzy Jeff & The Fresh Prince,261,2006,unknown
315989,5714deca25ac0d8aee3dd053,5714debb25ac0d8aee356cb1,Paradise,260,2012-02-03,eng,english,"list(""Pop rock"", ""Electronic rock"", ""Contemporary R&B"")","list(""Parlophone"")","list(""August 2011"")","list(""260.0"", ""278.0"")","list(""Gold"", ""Platinum"")",Mylo Xyloto,Coldplay,262,2012,unknown
316197,5714dec325ac0d8aee381d8e,5714debb25ac0d8aee34d898,I Don't Wanna,256,2007-10-05,eng,english,"list(""Contemporary R&B"")","list(""Virgin Records"", ""Blackground Records"")","list(""May 1999"")","list(""255.0"")",list(),Ultimate Aaliyah,Aaliyah,264,2007,Ultimate Aaliyah
316202,5714dec525ac0d8aee3a1cf2,5714debb25ac0d8aee350e92,Always,288,2005-04-19,eng,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Warner Bros. Records"")","list(""1986"")","list(""240.0"")",list(),All In The Name Of Love,Atlantic Starr,265,2005,All In The Name Of Love
316256,5714dec825ac0d8aee3c364e,5714debb25ac0d8aee354419,Bad Meets Evil:Lighters,299,2011-07-27,unknown,english,"list(""Alternative hip hop"", ""Synthpop"", ""Soul music"")","list(""Interscope Records"", ""Shady Records"")","list(""Effigy Studios , Isolation Studios, Levcon Studios"")","list(""263.0"", ""303.0"")","list(""Platinum"", ""Gold"", ""Silver"")",Songs Featuring Bruno Mars,Bruno Mars,266,2011,unknown
316344,5714dec625ac0d8aee3a6cbd,5714debb25ac0d8aee3516c3,All I Have To Give,244,2001-06-26,eng,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Jive Records"")","list(""April 1997"", ""Parc Studios"", ""December 1996—January 1997"", ""Battery Studios"")","list(""274.0"")","list(""Gold"", ""Silver"", ""Platinum"")",Backstreet's Back,Backstreet Boys,267,2001,unknown
316637,5714deca25ac0d8aee3d7867,5714debb25ac0d8aee3563e1,Every Little Thing U Do,286,1992-12-29,unknown,english,"list(""Contemporary R&B"")","list(""Uptown Records"")",list(),"list(""284.0"")",list(),Not A Perfect Man,Christopher Williams,269,1992,Not A Perfect Man
316870,5714dec825ac0d8aee3bbab9,5714debb25ac0d8aee353782,Roni,361,2003-09-18,eng,english,"list(""New jack swing"", ""Slow jam"", ""Contemporary R&B"")","list(""MCA Records"")","list(""1988"")","list(""358.0"", ""7.0"")",list(),Don't Be Cruel,Bobby Brown,271,2003,unknown
317013,5714decf25ac0d8aee416d50,5714debb25ac0d8aee35c91e,Kemosabe,225,2014-12-19,unknown,english,"list(""Indie rock"", ""Contemporary R&B"", ""Indie pop"", ""Art rock"")","list(""RCA Records"")","list(""2012"")","list(""223.0"")",list(),Arc,Everything Everything,272,2014,unknown
317595,5714dec625ac0d8aee3a441c,5714debb25ac0d8aee3512d1,Girlfriend,216,2007-02-26,eng,english,"list(""Pop punk"", ""Rap rock"")","list(""Sony BMG"")","list(""2006"", ""March–April 2009"")","list(""217.0"", ""185.0"", ""205.0"")","list(""Silver"", ""Gold"", ""Platinum"")",The Best Damn Thing,Avril Lavigne,274,2007,unknown
317622,5714decd25ac0d8aee3fd9ec,5714debb25ac0d8aee35a1aa,Get At Me Dog,186,2007-06-18,unknown,english,"list(""East Coast hip hop"", ""Gangsta rap"")","list(""Ruff Ryders Entertainment"", ""Def Jam Recordings"")","list(""1997"")","list(""243.0"")",list(),It's Dark And Hell Is Hot,DMX,275,2007,It's Dark And Hell Is Hot
317707,5714dec825ac0d8aee3c641b,5714debb25ac0d8aee354877,Kung Fu Fighting,232,0000-00-00,unknown,english,"list(""Disco"", ""Eurodance"", ""Alternative hip hop"")","list(""All Around the World Productions"", ""20th Century Fox Records"", ""Pye Records"")",list(),"list(""225.0"", ""195.0"")","list(""Gold"")",Other Songs,Bus Stop,276,0000,unknown
317755,5714deca25ac0d8aee3ddb02,5714debb25ac0d8aee356dbb,All 4 Love,211,2005-03-15,eng,english,"list(""Contemporary R&B"", ""New jack swing"")","list(""Giant Records (Warner)"")",list(),"list(""210.0"")",list(),C.M.B.,Color Me Badd,277,2005,unknown
317757,5714dec325ac0d8aee381d40,5714debb25ac0d8aee34d894,Down With The Clique,202,2001-07-23,unknown,english,"list(""Reggae fusion"", ""Hip hop music"", ""Contemporary R&B"")","list(""Jive Records"", ""Blackground Records"")","list(""1993"")","list(""204.0"")",list(),Age Ain't Nothing But A Number,Aaliyah,278,2001,Age Ain't Nothing But A Number
317906,5714dec325ac0d8aee381d50,5714debb25ac0d8aee34d895,4 Page Letter,291,2007-01-01,eng,english,"list(""Contemporary R&B"")","list(""Blackground Records"", ""Atlantic Records"")","list(""1996"", ""at Pyramid Studios"")","list(""292.0"")",list(),One In A Million,Aaliyah,279,2007,One In A Million
318160,5714decd25ac0d8aee3ff954,5714debb25ac0d8aee35a49d,The Heart Of The Matter,322,2009-06-12,unknown,english,"list(""Rock music"", ""Contemporary R&B"", ""Soul music"")","list(""Geffen Records"", ""Motown"")",list(),"list(""315.0"", ""321.0"")",list(),The End Of The Innocence,Don Henley,281,2009,unknown
318989,5714dec325ac0d8aee3856ab,5714debb25ac0d8aee34ded4,The Lonely Island:YOLO,188,2013-01-25,unknown,english,"list(""Comedy hip hop"")","list(""Republic Records"")","list(""2012"")","list(""188.0"")",list(),Songs Featuring Adam Levine,Adam Levine,282,2013,unknown
321089,5714deca25ac0d8aee3d56e9,5714debb25ac0d8aee3560a3,Yo (Excuse Me Miss),229,2006-04-24,unknown,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Jive Records"")","list(""2005"")","list(""229.0"")",list(),Chris Brown,Chris Brown,283,2006,Chris Brown
321663,5714decb25ac0d8aee3e3413,5714debb25ac0d8aee3576d5,King Of Raop,189,2015-01-17,unknown,german,"list(""Pop music"", ""Rapping"")",list(),list(),"list(""189.0"")",list(),Raop,Cro,284,2015,Raop
323913,5714dec425ac0d8aee38d8d4,5714debb25ac0d8aee34ec2c,1.000.000,197,2011-08-10,unknown,english,"list(""Dance-pop"", ""Pop-rap"", ""Europop"")",list(),"list(""2010"")","list(""200.0"")",list(),Saxobeats,Alexandra Stan,286,2011,unknown
323961,5714decb25ac0d8aee3eaf24,5714debb25ac0d8aee35832d,No Regrets,240,2011-09-18,unknown,english,"list(""British hip hop"", ""Contemporary R&B"")","list(""Takeover Entertainment"", ""All Around the World Productions"")","list(""2011"")","list(""229.0"")",list(),Bad Intentions,Dappy,287,2011,Bad Intentions
325338,5714dec625ac0d8aee3a4dc6,5714debb25ac0d8aee3513cc,Last Night,267,2000-11-21,unknown,english,"list(""Contemporary R&B"")",list(),"list(""1995"")","list(""267.0"")","list(""Platinum"", ""Gold"")",Az Yet,Az Yet,288,2000,Az Yet
326961,5714decb25ac0d8aee3e3418,5714debb25ac0d8aee3576d5,Meine Zeit,187,2015-02-18,unknown,german,"list(""Rapping"", ""Pop music"")",list(),list(),"list(""187.0"")",list(),Raop,Cro,290,2015,Raop
327711,5714deca25ac0d8aee3d7869,5714debb25ac0d8aee3563e1,I'm Dreamin',303,1991-03-05,unknown,english,"list(""New jack swing"", ""Contemporary R&B"")","list(""Giant Records (Warner)"")","list(""1990"")","list(""303.0"", ""281.0"")",list(),Not A Perfect Man,Christopher Williams,291,1991,Not A Perfect Man
329861,5714dec325ac0d8aee381d6b,5714debb25ac0d8aee34d897,Are You That Somebody,267,2007-12-27,unknown,english,"list(""Contemporary R&B"")","list(""Atlantic Records"", ""Blackground Records"")","list(""1997"", ""at The Village Recorder"")","list(""266.0"")",list(),I Care 4 U,Aaliyah,292,2007,I Care 4 U
330704,5714decc25ac0d8aee3f4f1b,5714debb25ac0d8aee35938d,It's Gonna Take A Miracle,249,1996-03-12,unknown,english,"list(""Contemporary R&B"")",list(),list(),list(),list(),Niecy,Deniece Williams,293,1996,Niecy
335135,5714dec725ac0d8aee3b0896,5714debb25ac0d8aee35265d,Work It Out,246,2003-03-10,unknown,english,"list(""Contemporary R&B"", ""Soul music"", ""Funk"")","list(""Columbia Records"")","list(""March 2002"")","list(""246.0"", ""223.0"")",list(),Speak My Mind,Beyoncé,295,2003,Speak My Mind
335499,5714dec625ac0d8aee3adfcf,5714debb25ac0d8aee35220b,Bitches Ain't Shit,250,2006-10-20,unknown,english,"list(""West Coast hip hop"", ""Gangsta rap"", ""G-funk"")","list(""Death Row Records"", ""Interscope Records"")","list(""1992"")","list(""288.0"")",list(),"Supersunnyspeedgraphic, The LP",Ben Folds,296,2006,unknown
339309,5714dec425ac0d8aee38e6e6,5714debb25ac0d8aee34edb9,Fallin',325,2001-06-25,eng,english,"list(""Gospel music"", ""Contemporary R&B"", ""Soul music"")","list(""J Records"")","list(""2001"")","list(""210.0"")",list(),Songs In A Minor,Alicia Keys,297,2001,Songs In A Minor
