id,name,locationInfo,genres,labels,type,lifeSpan.ended,lifeSpan.begin,lifeSpan.end,gender,deezerFans,id_artist_discogs,dbp_genre
56d8258153a7ddfc01f941f2,Ed Motta,"Brazil, Rio de Janeiro, Rio de Janeiro","Singer-Songwriter, MPB, Latin, Samba, Salsa, Soul, R&B, Funk, Reggae","WEA, Universal Music Group, Warner Music Group",Person,FALSE,1971-08-17,,Male,56442,33995,NA
56d8258453a7ddfc01f941f5,Ed O.G.,"United States, Massachusetts, Roxbury",Hip Hop,"Mercury Records, PolyGram, Fat Beats Records, Duck Down Records",Person,FALSE,1970-11-27,,Male,35,239109,Hip hop music
56d8258453a7ddfc01f941f6,Ed O.G. & Da Bulldogs,"United States, Massachusetts, Boston",Hip Hop,Direct Records,Group,FALSE,,,,50,239269,Hip hop music
56d8258553a7ddfc01f941f7,Ed Sheeran,"England, West Yorkshire, Halifax","Acoustic, Folk, Grime, Hip Hop","Asylum Records, Atlantic Records, Elektra",Person,FALSE,1991-02-17,,Male,7850367,2184482,"Pop music, Folk music, Acoustic music"
56d8258d53a7ddfc01f94200,"Eddie ""Cleanhead"" Vinson","United States, Texas, Houston","Bebop, Jump Blues, Jazz, R&B","King Records, Black And Blue, Official Records",Person,TRUE,1917-12-18,1988-07-02,Male,84,911933,"Jazz, Rhythm and blues, Jump blues"
56d8239553a7ddfc01f93ef7,Drama,"United States, Alabama, Sylacauga",Hip Hop,Atlantic Records,Person,FALSE,1981-12-26,,Male,670,212311,Hip hop music
56d823a953a7ddfc01f93f1b,Dream (US),"United States, California, Los Angeles","Pop, R&B","Warner Music Group, Bad Boy Entertainment",Group,TRUE,1998,2016-10-05,,2160,45090,NA
56d823ac53a7ddfc01f93f21,Dream Street,"United States, New York","Pop, R&B",Columbia,Group,TRUE,2000,2002,,552,1167159,"Teen pop, Dance-pop"
56d8284d53a7ddfc01f9455f,Elza Soares,"Brazil, Rio de Janeiro, Rio de Janeiro","Singer-Songwriter, Brazilian, MPB, Samba, Bossa Nova, Sambalanço, Hip Hop","Dubas, Odeon, Universal Music Group",Person,FALSE,1937-06-23,,Female,437624,83739,NA
56d8259d53a7ddfc01f9421d,Eddie Hazel,"United States, New York, Brooklyn","Funk, Soul, R&B","P-Vine Records, Warner Bros. Records",Person,TRUE,1950-04-10,1992-12-23,Male,1567,230473,"Soul music, Funk, Psychedelic soul, Psychedelic rock"
56d825ac53a7ddfc01f94238,Eddie Murphy,"United States, New York, Brooklyn","Comedy, R&B",Columbia,Person,FALSE,1961-04-03,,Male,2130,221503,"Observational comedy, Political satire, Ribaldry, Dance-pop, Black comedy, Comedy music, Insult comedy, Physical comedy"
56d82b0653a7ddfc01f94934,Eumir Deodato,"Brazil, Rio de Janeiro, Rio de Janeiro","Singer-Songwriter, Brazilian, Bossa Nova, Jazz, Jazz-Funk, Pop, R&B","CTI Records, MCA Records, Mercury Records, Warner Music Group, Atlantic Records, Fontana",Person,FALSE,1943-06-22,,Male,48,83740,NA
56d8286353a7ddfc01f94592,Emeli Sandé,"England, London","Soul, R&B, Pop",Virgin Records,Person,FALSE,1987-03-10,,Female,413844,1901709,NA
56d82b0e53a7ddfc01f9494a,Euro Crack,Finland,"Hip Hop, Electronic",NA,Group,FALSE,,,,NULL,3357081,NA
56d82b1253a7ddfc01f9494f,Eurythmics,"England, London","Rock, Synthpop, R&B, New Wave","RCA Records, Virgin Records, Arista",Group,FALSE,1980,,,372643,13911,NA
