deezerFans,id,name,locationInfo,genres,labels,type,lifeSpan.ended,lifeSpan.begin,lifeSpan.end,gender
14086223,56d8116053a7ddfc01f924dc,Chris Willis,"United States, Ohio, Dayton","Gospel, R&B",NA,Person,FALSE,unknown,unknown,Male
10670561,56d828be53a7ddfc01f945ee,Eminem,"United States, Michigan, Detroit",Hip Hop,"Aftermath Entertainment, Interscope Records, Shady Records",Person,FALSE,1972-10-17,unknown,Male
9288697,56d8239053a7ddfc01f93eef,Drake,"Canada, Ontario, Toronto","Hip Hop, R&B","Cash Money Records, Universal Motown, Young Money Entertainment",Person,FALSE,1986-10-24,unknown,Male
8100945,56d8025b53a7ddfc01f90fa0,Beyoncé,"United States, Texas, Houston","R&B, Soul, Pop",Columbia,Person,FALSE,1981-09-04,unknown,Female
7850367,56d8258553a7ddfc01f941f7,Ed Sheeran,"England, West Yorkshire, Halifax","Acoustic, Folk, Grime, Hip Hop","Asylum Records, Atlantic Records, Elektra",Person,FALSE,1991-02-17,unknown,Male
6265949,56d8097c53a7ddfc01f919db,Bruno Mars,"United States, Hawaii, Waikiki","Pop, R&B","Atlantic Records, Elektra",Person,FALSE,1985-10-08,unknown,Male
5537373,56d824f853a7ddfc01f94121,E-White,"United States, California, Long Beach",Hip Hop,Universal Records,Person,FALSE,unknown,unknown,Male
4368818,56d7faaa53a7ddfc01f9043a,Ariana Grande,"United States, Florida, Boca Raton","Pop, R&B",Republic Records,Person,FALSE,1993-06-26,unknown,Female
3047104,56d8235a53a7ddfc01f93eae,Dr. Dre,"United States, California, Compton","Hip Hop, R&B","Priority Records, Death Row Records, Aftermath Entertainment, Interscope Records",Person,FALSE,1965-02-18,unknown,Male
2468178,56d7f67053a7ddfc01f8fda7,Amy Winehouse,"England, London, Southgate","R&B, Soul, Jazz, Pop","Island Records, Republic Records, Universal Republic",Person,TRUE,1983-09-14,2011-07-23,Female
2395469,56d8119953a7ddfc01f9252e,Christina Aguilera,"United States, Pennsylvania, Pittsburgh","Dance-Pop, Jazz, Pop, R&B, Teen Pop",RCA Records,Person,FALSE,1980-12-18,unknown,Female
1076708,56d80d5f53a7ddfc01f91f96,Casino,"United States, Georgia, Atlanta",Hip Hop,Freebandz Entertainment,Person,FALSE,unknown,unknown,Male
1031038,56d7faa353a7ddfc01f90428,Aretha Franklin,"United States, Tennessee, Memphis","Soul, R&B, Jazz, Blues, Gospel","Arista, Columbia, Atlantic Records, EMI",Person,FALSE,1942-03-25,unknown,Female
1025067,56d816ee53a7ddfc01f92c64,Cro,"Germany, Baden-Württemberg, Stuttgart","Hip Hop, Pop",Chimperator Productions,Person,FALSE,unknown,unknown,Male
907769,56d8205853a7ddfc01f93a0a,Diplo,"United States, Mississippi, Tupelo","Hip Hop, Dancehall","Big Dada Recordings, Mad Decent",Person,FALSE,1978-11-10,unknown,Male
867849,56d7e9cc6b60c09814f93f74,A$AP Rocky,"United States, New York, New York City",Hip Hop,"Sony Music Entertainment, RCA Records",Person,FALSE,1988-10-03,unknown,Male
839076,56d7fe3253a7ddfc01f9097c,B.B. King,"United States, Mississippi, Itta Bena","R&B, Blues, Memphis Blues, Blues Rock","Geffen Records, Interscope Records, Universal Records, RPM Records, Crown Records, ABC Records, MCA Records, Reprise Records, Warner Bros. Records, Virgin Records, EMI",Person,TRUE,1925-09-16,2015-05-14,Male
809764,56d802eb53a7ddfc01f91078,Big Time Rush,"United States, California, Los Angeles","Pop, R&B, Dance, Electronic Rock","Columbia, Nick Records",Group,FALSE,2009-08-01,unknown,unknown
701948,56d821a353a7ddfc01f93c4f,DMX,"United States, New York, Yonkers",Hip Hop,NA,Person,FALSE,1970-12-18,unknown,Male
701945,56d802e153a7ddfc01f91068,Big Stan,United States,Hip Hop,Def Jam Recordings,unknown,FALSE,unknown,unknown,unknown
563150,56d8200053a7ddfc01f939b3,Dillon Francis,"United States, California, Los Angeles","Electro House, Trap, Dubstep, Progressive House","Mad Decent, OWSLA",Person,FALSE,1987-10-05,unknown,Male
533054,56d80a8853a7ddfc01f91b58,Bushido,"Germany, North Rhine-Westphalia, Bonn",Hip Hop,NA,Person,FALSE,1978-09-28,unknown,Male
483984,56d81f3b53a7ddfc01f9388e,Diana Ross & Marvin Gaye,"United States, Michigan, Detroit, United States, Washington, D.C.",R&B,Motown,unknown,FALSE,unknown,unknown,unknown
483984,56d81f3c53a7ddfc01f93890,Diana Ross,"United States, Michigan, Detroit","R&B, Soul, Pop, Disco, Jazz","Motown, RCA Records, EMI",Person,FALSE,1944-03-26,unknown,Female
452843,56d8229053a7ddfc01f93d9e,Donna Summer,"United States, Massachusetts, Boston","Pop, Funk, Soul, R&B, Disco","Epic Records, Casablanca Records, PolyGram",Person,TRUE,1948-12-31,2012-05-17,Female
445363,56d7ffd953a7ddfc01f90bff,Barry White,"United States, Texas, Galveston","R&B, Soul","20th Century Records, A&M Records",Person,TRUE,1944-09-12,2003-07-04,Male
437624,56d8284d53a7ddfc01f9455f,Elza Soares,"Brazil, Rio de Janeiro, Rio de Janeiro","Singer-Songwriter, Brazilian, MPB, Samba, Bossa Nova, Sambalanço, Hip Hop","Dubas, Odeon, Universal Music Group",Person,FALSE,1937-06-23,unknown,Female
431612,56d7fe4953a7ddfc01f909ac,Baby Rasta Y Gringo,Puerto Rico,"Reggaeton, Hip Hop","Eme Music, Universal Music",Group,FALSE,unknown,unknown,unknown
413844,56d8286353a7ddfc01f94592,Emeli Sandé,"England, London","Soul, R&B, Pop",Virgin Records,Person,FALSE,1987-03-10,unknown,Female
372643,56d82b1253a7ddfc01f9494f,Eurythmics,"England, London","Rock, Synthpop, R&B, New Wave","RCA Records, Virgin Records, Arista",Group,FALSE,1980,unknown,unknown
370335,56d8127a53a7ddfc01f925c6,Chuck Berry,"United States, Missouri, Overland","Rock, R&B, Rock 'N' Roll","Chess Records, Mercury Records, Atco Records",Person,FALSE,1926-10-18,unknown,Male
315815,56d81f6353a7ddfc01f938d5,Diddy,"United States, New York, New York City","Hip Hop, Pop, R&B","Arista, Epic Records",Person,FALSE,1969-11-04,unknown,Male
310060,56d8005553a7ddfc01f90cc3,Beastie Boys,"United States, New York, New York City","Hip Hop, Alternative Hip Hop, Punk Rock, Rapcore, Hardcore Punk","Def Jam Recordings, Capitol Records, Grand Royal",Group,TRUE,1979,2014,unknown
304250,56d8081553a7ddfc01f917aa,Brandy,"United States, Mississippi, McComb",R&B,RCA Records,Person,FALSE,1979-02-11,unknown,Female
283503,56d82ba053a7ddfc01f94a37,Example,"England, London, Hammersmith","Dance, Electronic, Hip Hop, Post-Punk",Data Records,Person,FALSE,1982-06-20,unknown,Male
270665,56d80eaa53a7ddfc01f9217b,Chaka Khan,"United States, Illinois, Great Lakes","R&B, Pop, Funk, Jazz","ABC Records, MCA Records, Warner Bros. Records, Reprise Records, NPG Records, Burgundy Records",Person,FALSE,1953-03-23,unknown,Female
263567,56d807cd53a7ddfc01f9171f,Boyz II Men,"United States, Pennsylvania, Philadelphia","New Jack Swing, R&B, Soul","Arista, Decca Records, Koch Records, Motown, Universal Records",Group,FALSE,1988,unknown,unknown
241516,56d829ef53a7ddfc01f94790,Ercandize,"Germany, North Rhine-Westphalia",Hip Hop,"Optik Records, Assazeen",Person,FALSE,1978-04-12,unknown,Male
230263,56d8035d53a7ddfc01f910fc,Bill Withers,"United States, West Virginia, Slab Fork","Soul, R&B, Blues, Pop","Sussex Records, Columbia",Person,FALSE,1938-07-04,unknown,Male
208344,56d81d8d53a7ddfc01f9361e,Deichkind,"Germany, Hamburg, Hamburg","Hip Hop, Electro, Techno, Synthpop","WEA, Island Records, EastWest",Group,FALSE,1999,unknown,unknown
207241,56d7f0a856847be81b3e8e5e,Al Green,"United States, Arkansas, Forrest City","Soul, Gospel, R&B","Hi, Motown, Myrrh Records",Person,FALSE,1946-04-13,unknown,Male
200980,56d7f51d53a7ddfc01f8fb5e,Aloe Blacc,"United States, California, Orange County","Soul, R&B, Jazz, Hip Hop, Funk","Interscope Records, Stones Throw Records, Vertigo",Person,FALSE,1979-01-07,unknown,Male
191764,56d7f0b156847be81b3e8e68,Al Jarreau,"United States, Wisconsin, Milwaukee","Jazz, Vocal, Bebop, Funk, Smooth Jazz, Pop Rock, R&B, Soul, Vocalese","GRP Records, Rhino Records, Warner Bros. Records",Person,TRUE,1940-03-12,2017-02-12,Male
188097,56d7f12a56847be81b3e8efe,Albert King,"United States, Indiana, Indianapolis","Blues, Memphis Blues, R&B","Stax Records, King Records",Person,TRUE,1923-04-25,1992-12-21,Male
182277,56d8203653a7ddfc01f939e0,Dinah Washington,"United States, Alabama, Tuscaloosa","Blues, Gospel, Jazz, Pop, R&B",Mercury Records,Person,TRUE,1924-08-29,1963-12-14,Female
180925,56d8028753a7ddfc01f90ff6,Big Bang,South Korea,"K-Pop, J-Pop, Hip Hop, R&B, Pop",YG Entertainment,Group,FALSE,2006-08-19,unknown,unknown
174163,56d7fbab53a7ddfc01f905ce,Ashanti,"United States, New York, Glen Cove",R&B,"Jive Records, Epic Records",Person,FALSE,1980-10-13,unknown,Female
166363,56d7fe4e53a7ddfc01f909b5,Babyface,"United States, Indiana, Indianapolis","New Jack Swing, R&B, Soul",Epic Records,Person,FALSE,1959-04-10,unknown,Male
156443,56d814db53a7ddfc01f92949,Commodores,"United States, Alabama, Tuskegee","Funk, Soul, R&B","Motown, Rare Earth, Polydor",Group,FALSE,1968,unknown,unknown
150284,56d80fce53a7ddfc01f9232e,Cheryl Lynn,"United States, California, Los Angeles","R&B, Soul","Columbia, Manhattan Records, Virgin Records",Person,FALSE,1957-03-11,unknown,Female
139754,56d8157c53a7ddfc01f92a34,Coolio,"United States, California, Compton",Hip Hop,NA,Person,FALSE,1963-08-01,unknown,Male
134673,56d7fdb553a7ddfc01f908f1,Azealia Banks,"United States, New York, Harlem","Alternative Hip Hop, Experimental, Hip House","Interscope Records, Polydor",Person,FALSE,1991-05-31,unknown,Female
125878,56d7f3ef53a7ddfc01f8f993,Alexandra Burke,"England, London, Islington",R&B,Syco Music,Person,FALSE,1988-08-25,unknown,Female
114661,56d7ffe353a7ddfc01f90c18,Bassnectar,"United States, California, San Francisco","Dubstep, Breakbeat, Glitch, Hip Hop","Om Records, Child's Play Records",Person,FALSE,1977-02-19,unknown,Male
114536,56d80e2253a7ddfc01f920b0,Cee Lo Green,"United States, Georgia, Atlanta","R&B, Soul",Elektra,Person,FALSE,1974-05-30,unknown,Male
113012,56d8105953a7ddfc01f923d1,Chinx,"United States, New York, Queens",Hip Hop,Evil Empire,Person,TRUE,1983-12-04,2015-05-17,Male
107835,56d81f7853a7ddfc01f938f7,Die Fantastischen Vier,"Germany, Baden-Württemberg, Stuttgart",Hip Hop,Four Music,Group,FALSE,1989-07-07,unknown,unknown
107173,56d81c2f53a7ddfc01f93441,De La Soul,"United States, New York, Long Island","Hip Hop, Jazz Rap","Tommy Boy, Sanctuary Records, AOI Records",Group,FALSE,1987,unknown,unknown
107113,56d824f153a7ddfc01f94119,E-40,"United States, California, Vallejo",Hip Hop,EMI,Person,FALSE,1967-11-15,unknown,Male
107102,56d817b953a7ddfc01f92d92,Curtis Mayfield,"United States, Illinois, Chicago","Funk, R&B, Soul","Curtom Records, Charly Records",Person,TRUE,1942-06-03,1999-12-26,Male
103883,56d8070653a7ddfc01f91604,Bone Thugs-N-Harmony,"United States, Ohio, Cleveland",Hip Hop,Universal Music,Group,FALSE,1993,unknown,unknown
95160,56d7fb8753a7ddfc01f90590,Asa,"Finland, Uusimaa, Helsinki",Hip Hop,Roihis Musica,Person,FALSE,unknown,unknown,Male
91671,56d807e453a7ddfc01f91749,Brad Wilk,"United States, California, Irvine","Alternative Metal, Rap Metal, Funk Metal, Alternative Rock, Hard Rock",NA,Person,FALSE,1968-09-05,unknown,Male
91453,56d8205453a7ddfc01f93a03,Dionne Warwick,"United States, New Jersey, East Orange","Soul, R&B, Soft Rock, Pop, Easy Listening, Jazz, Gospel, Pop, Adult Contemporary","Arista, Scepter Records, Motown, Rhino Records, Disques Vogue, Columbia, Fontana, Rozenblit, Pye Records, Atlantic Records, CBS Records, Metronome Records, Polydor, Ariola, ABC Records, Universal Music, Collectables, Warner Music Group",Person,FALSE,1940-12-12,unknown,Female
91382,56d81ab753a7ddfc01f9321e,Datsik,"Canada, British Columbia, Kelowna","Electro House, Dubstep, Trap","Dim Mak Records, Rottun Recordings, Basshead, SMOG, Firepower Records",Person,FALSE,1988-06-09,unknown,Male
81616,56d8103853a7ddfc01f92391,Childish Gambino,"United States, California, Los Angeles","Underground Hip Hop, Alternative Hip Hop, R&B, Pop",NA,Person,FALSE,1983-09-25,unknown,Male
78453,56d81c1853a7ddfc01f9341e,Dc Talk,"United States, Virginia, Lynchburg","Christian Hip Hop‎, Hip Hop, Rock","ForeFront Records, Virgin Records",Group,TRUE,1987,2001,unknown
73977,56d7fb0553a7ddfc01f904ba,Army Of The Pharaohs,"United States, Pennsylvania, Philadelphia","Hip Hop, Underground Hip Hop, Hardcore Hip Hop","Babygrande Records, Enemy Soil",Group,FALSE,1998,unknown,unknown
73762,56d815c453a7ddfc01f92a8b,Corinne Bailey Rae,"England, West Yorkshire, Leeds","R&B, Soul","EMI, Capitol Records, Virgin Records",Person,FALSE,1979-02-26,unknown,Female
71857,56d8182453a7ddfc01f92e1b,CéU,"Brazil, São Paulo, São Paulo","Singer-Songwriter, Brazilian, MPB, Bossa Nova, Soul, R&B, Jazz, Hip Hop","Indigo, Universal Music Group, Warner Music Group",Person,FALSE,1980-04-17,unknown,Female
70868,56d813f953a7ddfc01f927e7,Clueso,"Germany, Thuringia, Erfurt","Singer-Songwriter, Hip Hop, Reggae, Folk",Four Music,Person,FALSE,1980-04-09,unknown,Male
68503,56d7fdae53a7ddfc01f908e5,Azad,"Germany, Hesse, Frankfurt am Main",Hip Hop,Bozz Music,Person,FALSE,1973-11-24,unknown,Male
68198,56d8106153a7ddfc01f923e2,Chipmunk,"England, London, Tottenham","Hip Hop, Grime, R&B",NA,Person,FALSE,1990-11-26,unknown,Male
65931,56d81a0e53a7ddfc01f93133,Dappy,"England, London, Camden",Hip Hop,"Polydor, All Around The World, Def Jam Recordings",Person,FALSE,1987-06-11,unknown,Male
65470,56d806aa53a7ddfc01f91587,Bobby Womack,"United States, Ohio, Cleveland","Doo-wop, Funk, Gospel, Jazz, R&B, Rock, Rock 'N' Roll, Soul, Soul Blues","MCA Records, Columbia, United Artists Records",Person,TRUE,1944-03-04,2014-06-27,Male
65390,56d8010153a7ddfc01f90da6,Bella Thorne,"United States, Florida, Pembroke Pines","Pop, R&B",FaceTone Entertainment,Person,FALSE,1997-10-08,unknown,Female
61976,56d7f63853a7ddfc01f8fd68,Amos Lee,"United States, Pennsylvania, Philadelphia","Soul, R&B, Folk, Singer-Songwriter",Blue Note,Person,FALSE,1977-06-22,unknown,Male
58531,56d8243e53a7ddfc01f9400b,Dubioza Kolektiv,Bosnia and Herzegovina,"Rap Rock, Reggae, Ska, Dub, Funk Rock","Gramofon, Menart Records",Group,FALSE,2003,unknown,unknown
58475,56d7f43753a7ddfc01f8fa07,Alias (US),"United States, Maine, Hollis",Alternative Hip Hop,"Anticon, Mush Records",Person,FALSE,unknown,unknown,Male
58423,56d828f753a7ddfc01f94658,En Vogue,"United States, California, Oakland","R&B, Pop","Atlantic Records, EastWest Records America, 33rd Street Records",Group,FALSE,1988-07-18,unknown,unknown
56442,56d8258153a7ddfc01f941f2,Ed Motta,"Brazil, Rio de Janeiro, Rio de Janeiro","Singer-Songwriter, MPB, Latin, Samba, Salsa, Soul, R&B, Funk, Reggae","WEA, Universal Music Group, Warner Music Group",Person,FALSE,1971-08-17,unknown,Male
54685,56d804b153a7ddfc01f912b0,Black-Ty,"United States, California, Los Angeles",Hip Hop,RCA Records,Person,FALSE,1978-12-30,unknown,Male
54442,56d8228353a7ddfc01f93d86,DonGURALesko,"Poland, Greater Poland Voivodeship, Poznań",Hip Hop,"Wielkie Joł, Szpadyzor Records",Person,FALSE,1980-03-08,unknown,Male
54370,56d8186453a7ddfc01f92e80,D12,"United States, Michigan, Detroit",Hip Hop,Interscope Records,Group,FALSE,1996,unknown,unknown
