X_id,name,genre,id_artist,title,publicationDate,deezerFans,country,dateRelease,language,Artist_name
5714debb25ac0d8aee359989,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Jetzt Geht's Ab,1991,47,unknown,1991-08-27,unknown,Die Fantastischen Vier
5714debb25ac0d8aee35998a,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,4 Gewinnt,1992,106,unknown,1992-08-28,unknown,Die Fantastischen Vier
5714debb25ac0d8aee35998b,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Die 4. Dimension,1993,1280,unknown,1993-11-08,unknown,Die Fantastischen Vier
5714debb25ac0d8aee35998c,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Lauschgift,1995,141,unknown,1995-11-11,unknown,Die Fantastischen Vier
5714debb25ac0d8aee35998d,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Live Und Direkt,1996,45,DE,1996-10-09,deu,Die Fantastischen Vier
5714debb25ac0d8aee35998e,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,4:99,1999,1533,unknown,1999-04-26,unknown,Die Fantastischen Vier
5714debb25ac0d8aee35998f,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Unplugged,2000,1512,DE,2000-11-07,deu,Die Fantastischen Vier
5714debb25ac0d8aee359990,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Viel,2004,88,unknown,2004-09-27,unknown,Die Fantastischen Vier
5714debb25ac0d8aee359991,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Fornika,2007,251,unknown,2007-04-07,unknown,Die Fantastischen Vier
5714debb25ac0d8aee359992,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Für Dich Immer Noch Fanta Sie,2010,3164,unknown,2010-05-14,unknown,Die Fantastischen Vier
5714debb25ac0d8aee359993,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,ITunes Live Aus Frankfurt,2011,251,unknown,unknown,unknown,Die Fantastischen Vier
5714debb25ac0d8aee359994,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,MTV Unplugged II,2012,3849,unknown,2012-10-26,unknown,Die Fantastischen Vier
5714debb25ac0d8aee359995,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Rekord,2014,14743,unknown,2014-10-24,unknown,Die Fantastischen Vier
